# File Name: DEC_PMMoV_REDO_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2024-03-15 11:37:54 AM EDT
# Run End Data/Time: 2024-03-15 12:35:56 PM EDT
# Run Duration: 58 minutes 2 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:13:36 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:13:43 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"34","C10","FALSE","8000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1008327252874728","","","26.801325312492658","0.8465001940797342","27.023307720809072","0.20241386377281756","FALSE","0.04","TRUE","3","24"
"35","C11","FALSE","8000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.0935354845602387","","","27.070940973248824","0.8528286130322281","27.023307720809072","0.20241386377281756","FALSE","0.04","TRUE","3","24"
"36","C12","FALSE","8000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.0915689501300676","","","27.197656876685734","0.8498686656105856","27.023307720809072","0.20241386377281756","FALSE","0.04","TRUE","3","24"
"37","D1","FALSE","PR-231204-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0928949027760144","","","20.48072315372891","0.8323629061489238","20.62682522009498","0.22220833261580186","FALSE","0.04","TRUE","3","17"
"38","D2","FALSE","PR-231204-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0935117999886177","","","20.51720939055606","0.8271582967373033","20.62682522009498","0.22220833261580186","FALSE","0.04","TRUE","3","17"
"39","D3","FALSE","PR-231204-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0998288823759703","","","20.882543115999965","0.8312989908925412","20.62682522009498","0.22220833261580186","FALSE","0.04","TRUE","3","18"
"40","D4","FALSE","PR-231207-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0952384237161692","","","22.4083303906639","0.8495985542639485","22.10048960247525","0.2725325508566154","FALSE","0.04","TRUE","3","19"
"41","D5","FALSE","PR-231207-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1045887241418766","","","22.003133579871594","0.8369402951905561","22.10048960247525","0.2725325508566154","FALSE","0.04","TRUE","3","19"
"42","D6","FALSE","PR-231207-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1039865126091393","","","21.89000483689025","0.8382457987634744","22.10048960247525","0.2725325508566154","FALSE","0.04","TRUE","3","19"
"43","D7","FALSE","PR-231206-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
